City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,luganville,-15.5333,167.1667,298.35,87,55,3.09,VU,1720733237
114,kashgar,39.4547,75.9797,296.71,35,20,2.0,CN,1720733238
115,thompson,55.7435,-97.8558,292.24,77,40,6.17,CA,1720733036
116,ketchikan,55.3422,-131.6461,288.41,67,100,5.14,US,1720733240
117,fort st. john,56.2499,-120.8529,294.09,26,40,10.8,CA,1720733215
118,longyearbyen,78.2186,15.6401,281.06,93,75,2.06,SJ,1720733243
119,guajara mirim,-10.7828,-65.3394,305.07,41,12,0.46,BR,1720733244
120,hawaiian paradise park,19.5933,-154.9731,302.44,62,100,1.79,US,1720733245
121,howrah,22.5892,88.3103,303.15,84,75,4.12,IN,1720733246
122,blackmans bay,-43.0167,147.3167,282.22,89,100,0.89,AU,1720733248
123,posse,-14.0931,-46.3694,298.93,26,0,3.05,BR,1720733249
124,galliano,29.4422,-90.2992,304.26,62,40,2.57,US,1720733250
125,ulladulla,-35.35,150.4667,281.83,63,100,1.86,AU,1720733251
126,sorong,-0.8833,131.25,297.95,90,100,6.28,ID,1720733253
127,as sars,36.0764,9.0212,300.61,37,0,1.76,TN,1720733254
128,nizhneangarsk,55.7833,109.55,289.15,75,43,1.33,RU,1720733255
129,st. john's,47.5649,-52.7093,294.97,84,75,3.09,CA,1720733192
130,klyuchi,52.2667,79.1667,293.83,66,4,2.62,RU,1720733258
131,nemuro,43.3236,145.575,286.82,97,100,2.81,JP,1720733259
132,ust-nera,64.5667,143.2,296.51,39,12,1.26,RU,1720733260
133,manismata,-2.4667,111.0333,294.47,99,37,1.2,ID,1720733261
134,invercargill,-46.4,168.35,273.16,97,2,0.45,NZ,1720733263
135,polyarnyy,69.1989,33.4478,288.84,62,100,3.39,RU,1720733004
136,cidreira,-30.1811,-50.2056,284.13,95,100,3.57,BR,1720733266
137,macusani,-14.0833,-70.4333,280.86,13,0,8.39,PE,1720733268
138,nadym,65.5333,72.5167,290.6,60,24,4.2,RU,1720733269
139,lihue,21.9789,-159.3672,300.92,72,40,8.75,US,1720733270
140,kununurra,-15.7667,128.7333,288.14,82,22,0.51,AU,1720733271
141,singaraja,-8.112,115.0882,297.5,79,94,2.55,ID,1720733273
142,island harbour,50.724,-1.2758,290.38,74,100,1.7,GB,1720733274
143,ozalp,38.6548,43.993,291.1,42,0,1.38,TR,1720733275
144,nikolayevsk-on-amure,53.1406,140.73,283.17,99,100,1.19,RU,1720733277
145,hasaki,35.7333,140.8333,297.37,90,100,1.4,JP,1720733278
146,rifle,39.5347,-107.7831,310.58,100,0,2.06,US,1720733279
147,brokopondo,4.75,-55.1667,302.18,74,86,0.17,SR,1720733281
148,diffa,13.3154,12.6113,304.4,47,44,3.33,NE,1720733282
149,chissamba,-12.1667,17.3333,286.93,17,6,1.17,AO,1720733283
150,kuanda,56.3161,116.0806,293.56,79,2,2.0,RU,1720733284
151,namibe,-15.1961,12.1522,290.44,80,29,1.01,AO,1720733286
152,dalandzadgad,43.5708,104.425,295.14,32,18,5.77,MN,1720733287
153,kourou,5.1552,-52.6478,302.18,83,65,4.1,GF,1720733288
154,taulaga,-11.0553,-171.0883,300.83,80,38,7.45,AS,1720733289
155,khulm,36.6974,67.6983,304.27,18,0,3.93,AF,1720733290
156,carnarvon,-24.8667,113.6333,288.45,57,6,8.0,AU,1720733292
157,westport,41.1415,-73.3579,304.11,62,0,7.2,US,1720733205
158,aykhal,66.0,111.5,294.53,46,83,1.5,RU,1720733295
159,coahuayana de hidalgo,18.7,-103.6583,300.07,87,100,1.23,MX,1720733297
160,boksitogorsk,59.474,33.8485,287.93,63,77,3.92,RU,1720733298
161,camana,-16.6228,-72.7111,288.97,79,49,4.87,PE,1720733299
162,hilo,19.7297,-155.09,302.56,62,100,1.79,US,1720733300
163,iranshahr,27.2025,60.6848,310.34,36,31,4.12,IR,1720733303
164,timaru,-44.4,171.25,276.07,87,12,2.54,NZ,1720733304
165,saint-francois,46.4154,3.9054,294.84,89,68,3.09,FR,1720733305
166,tolanaro,-25.0319,46.9987,293.19,73,0,7.2,MG,1720733306
167,pago pago,-14.2781,-170.7025,298.99,77,97,8.54,AS,1720733308
